peak	gene	cluster	t_test	wilcoxon_test	ks_test	log2ratio	control_mean	experiment_mean	control_sd	experiment_sd	control_se	experiment_se	control_skewness	experiment_skewness	control_kurtosis	experiment_kurtosis
ldopa-peak-152576	Plekhm2	cluster_17	0.0086	0.0159	0.0159	-0.5659	0.7723	0.5217	0.1338	0.0325	0.0598	0.0162	1.684	1.1535	3.725	0.9275
ldopa-peak-174195	Rmnd5a	cluster_17	0.008	0.0317	0.0794	0.5373	0.5135	0.7452	0.0627	0.1242	0.028	0.0621	1.532	1.1946	2.3721	1.3621
ldopa-peak-218986	Pqbp1	cluster_17	0	0.0159	0.0159	0.5232	0.6786	0.9752	0.0374	0.029	0.0167	0.0145	1.3416	1.0531	1.7901	0.8286
ldopa-peak-22719	Cactin	cluster_18	0.004	0.0159	0.0159	1.0421	0.3114	0.6413	0.0796	0.1535	0.0356	0.0767	2.0003	1.1024	4.4826	0.3839
ldopa-peak-33416	Per1	cluster_18	0.0071	0.0159	0.0159	0.9919	1.6755	3.3322	0.2508	0.9618	0.1121	0.4809	0.4589	0.2215	-0.5873	-0.8964
ldopa-peak-38021	Jup	cluster_18	0.0059	0.0159	0.0159	1.1058	1.6331	3.5147	0.8167	0.5646	0.3653	0.2823	0.8057	0.4759	-0.2293	-0.2543
ldopa-peak-58519	Homer1	cluster_18	0.0093	0.0317	0.0794	1.1923	0.2635	0.6021	0.1647	0.104	0.0737	0.052	1.8919	1.5077	2.7944	2.1261
ldopa-peak-67082	Egr3	cluster_18	0.0083	0.0159	0.0159	0.9731	1.6514	3.2416	0.6378	0.668	0.2852	0.334	0.9266	0.7344	0.8005	0.3027
ldopa-peak-109494	Dusp5	cluster_18	0.0036	0.0159	0.0159	1.691	0.3079	0.994	0.143	0.325	0.064	0.1625	2.191	1.0045	4.9106	0.7385
ldopa-peak-109807	Adrb1	cluster_18	0.0083	0.0159	0.0159	0.9609	0.6074	1.1823	0.0973	0.3415	0.0435	0.1708	1.0815	0.8968	0.2668	0.8531
ldopa-peak-124612	Sec23b	cluster_18	9e-04	0.0159	0.0159	0.5288	0.7662	1.1054	0.1009	0.0782	0.0451	0.0391	1.0262	0.8296	0.258	0.2932
ldopa-peak-127363	Rnf114	cluster_18	0.0071	0.0159	0.0159	-0.5201	1.0861	0.7573	0.1454	0.1067	0.065	0.0534	0.7066	1.2211	-0.0688	1.9644
ldopa-peak-183203	Sertad1	cluster_18	0.0034	0.0159	0.0159	1.4603	0.2593	0.7134	0.0733	0.223	0.0328	0.1115	1.8609	1.3145	2.699	1.7315
ldopa-peak-183809	U2af1l4	cluster_18	1e-04	0.0159	0.0159	-0.5666	1.0509	0.7096	0.0618	0.073	0.0276	0.0365	0.8167	0.9957	0.5391	0.4141
ldopa-peak-38578	Nmt1	cluster_20	0.0076	0.0571	0.0571	-0.7766	0.6184	0.361	0.0895	0.0567	NA	NA	1.0389	1.7453	0.2459	4.2314
ldopa-peak-45435	Fbxo33	cluster_20	0.0055	0.0571	0.0571	0.8749	0.3282	0.6018	0.0739	0.0811	NA	NA	2.1606	0.7904	5.223	-0.0764
ldopa-peak-33416	Per1	cluster_21	0.0055	0.0159	0.0159	0.6533	1.6944	2.665	0.3191	0.4209	0.1427	0.2105	1.1248	1.3579	1.2204	2.9419
ldopa-peak-48096	Fos	cluster_21	0.0078	0.0159	0.0159	1.5459	0.6541	1.9099	0.238	0.7259	0.1064	0.363	1.0247	0.5095	0.0777	-0.7855
ldopa-peak-67082	Egr3	cluster_21	5e-04	0.0159	0.0159	0.8162	1.7834	3.1401	0.3862	0.2493	0.1727	0.1246	0.7872	0.4104	0.3889	-0.2874
ldopa-peak-76474	Pdgfb	cluster_21	0.0013	0.0159	0.0159	0.8781	0.4767	0.8761	0.1057	0.1285	0.0473	0.0643	1.4594	0.9684	2.646	0.2654
ldopa-peak-79261	Nr4a1	cluster_21	0.0021	0.0159	0.0159	1.4273	1.2258	3.2967	0.3884	0.8873	0.1737	0.4436	0.8098	0.9059	-0.0704	0.7761
ldopa-peak-83748	Stxbp5l	cluster_21	0.0075	0.0159	0.0159	-0.6802	0.9785	0.6106	0.145	0.1508	0.0648	0.0754	0.812	1.0192	0.1663	0.0804
ldopa-peak-99898	Egr1	cluster_21	1e-04	0.0159	0.0159	0.7317	5.0606	8.4035	0.6781	0.4899	0.3033	0.245	0.8065	0.4722	1.6307	0.014
ldopa-peak-104912	Brms1	cluster_21	0.006	0.0159	0.0159	-0.7785	0.9781	0.5702	0.1724	0.1322	0.0771	0.0661	0.7951	1.6875	-0.0483	3.4544
ldopa-peak-150646	Fndc5	cluster_21	0.0019	0.0159	0.0159	-0.6281	2.2224	1.438	0.2379	0.25	0.1064	0.125	0.5083	1.1495	-0.3859	1.3758
ldopa-peak-155777	Ptpn12	cluster_21	0.0084	0.0317	0.0794	0.6587	0.3827	0.6041	0.0882	0.0946	0.0394	0.0473	1.16	1.3022	0.2203	1.63
ldopa-peak-157233	Fosl2	cluster_21	0.0045	0.0159	0.0159	0.9996	0.4461	0.8919	0.0565	0.238	0.0253	0.119	1.7868	1.0366	3.9517	0.7852
ldopa-peak-177713	Bhlhe40	cluster_21	0.0059	0.0159	0.0159	0.7302	2.1823	3.6202	0.6002	0.4759	0.2684	0.2379	0.6521	0.6691	-0.0116	0.023
ldopa-peak-201965	Junb	cluster_21	8e-04	0.0159	0.0159	1.7404	0.6691	2.2356	0.1827	0.5968	0.0817	0.2984	1.3742	0.8135	1.6257	0.0911
ldopa-peak-33544	Polr2a	cluster_22	0.0048	0.0159	0.0159	0.7714	0.367	0.6265	0.1083	0.0746	0.0484	0.0373	1.7539	0.769	2.879	-0.5067
ldopa-peak-35915	Dusp14	cluster_22	0.0046	0.0159	0.0159	1.1433	0.3367	0.7437	0.1461	0.1515	0.0653	0.0758	1.4088	1.7636	1.6058	3.273
ldopa-peak-38021	Jup	cluster_22	0.0062	0.0317	0.0794	1.237	1.0239	2.4135	0.5913	0.4532	0.2645	0.2266	1.2609	0.7032	1.8846	0.0702
ldopa-peak-55572	B230219D22Rik	cluster_22	0.0077	0.0317	0.0794	-0.5164	1.0071	0.7041	0.1134	0.1333	0.0507	0.0666	0.8285	1.088	0.017	0.1368
ldopa-peak-76252	Gga1	cluster_22	0.0072	0.0159	0.0159	0.6804	0.3892	0.6238	0.0845	0.1037	0.0378	0.0519	1.2067	1.1558	0.4449	0.624
