peak	gene	cluster	t_test	wilcoxon_test	ks_test	log2ratio	control_mean	experiment_mean	control_sd	experiment_sd	control_se	experiment_se	control_skewness	experiment_skewness	control_kurtosis	experiment_kurtosis
ldopa-peak-81823	Abcc5	cluster_25	0.0012	0.2	0.2	-0.7077	0.6942	0.4251	0.022	0.029	NA	NA	1.5345	1.3907	2.7286	1.4624
ldopa-peak-93516	Mrps10	cluster_25	0.0062	0.2	0.2	-0.5944	0.8225	0.5448	0.0214	0.0698	NA	NA	0.9512	1.321	0.3003	0.5839
ldopa-peak-113763	Ass1	cluster_25	0.0089	0.2	0.2	0.6401	0.9932	1.5477	0.0813	0.1294	NA	NA	1.2012	0.5169	0.8949	-0.5786
ldopa-peak-152264	Mrto4	cluster_25	0.0031	0.2	0.2	-1.1573	0.9126	0.4092	0.0498	0.0821	NA	NA	0.9878	1.0083	0.6043	-0.0925
ldopa-peak-175513	Tprkb	cluster_25	0.0049	0.2	0.2	-0.7044	0.6696	0.4109	0.0287	0.0514	NA	NA	1.1445	1.5431	0.4915	2.3649
ldopa-peak-190238	Mrpl48	cluster_25	0.008	0.2	0.2	-0.656	1.4093	0.8944	0.0998	0.063	NA	NA	0.5587	1.0864	-0.5746	0.198
ldopa-peak-193131	Inpp5f	cluster_25	0.0071	0.2	0.2	0.7194	1.4356	2.3637	0.165	0.1293	NA	NA	0.8083	0.0053	0.0901	-0.3249
ldopa-peak-194720	Timm44	cluster_25	0.0068	0.2	0.2	-0.5016	0.8245	0.5824	0.0442	0.0286	NA	NA	0.546	1.3979	-0.7733	4.2031
ldopa-peak-201965	Junb	cluster_25	0.0066	0.2	0.2	2.6005	0.6104	3.7018	0.24	0.7968	NA	NA	1.2055	1.2077	1.1185	0.9648
ldopa-peak-215962	Pccb	cluster_25	0.0051	0.2	0.2	-0.5842	0.6987	0.4661	0.0409	0.0136	NA	NA	1.4176	0.9216	2.2988	-0.3027
ldopa-peak-221294	Pnck	cluster_25	0.009	0.2	0.2	-0.5934	1.4484	0.96	0.0976	0.0662	NA	NA	0.7838	0.5548	-0.021	-0.263
